year,country,average_temperature
1743,Albania,8.62
1743,Andorra,7.556
1743,Austria,2.482
1743,Belarus,0.767
1743,Belgium,7.106
1743,Bosnia And Herzegovina,6.391
1743,Bulgaria,5.928
1743,Croatia,7.225
1743,Czech Republic,4.167
1743,Denmark (Europe),6.507000000000001
1743,Estonia,0.727
1743,Europe,3.942
1743,Faroe Islands,6.105
1743,Finland,-3.571
1743,France,10.203
1743,France (Europe),7.397
1743,Germany,5.468
1743,Greece,10.806
1743,Guernsey,10.692
1743,Hungary,5.041
1743,Iceland,-1.794
1743,Ireland,7.729999999999999
1743,Isle Of Man,9.623
1743,Italy,9.538
1743,Jersey,10.692
1743,Latvia,0.936
1743,Liechtenstein,1.3230000000000002
1743,Lithuania,1.981
1743,Luxembourg,6.5920000000000005
1743,Macedonia,5.431
1743,Moldova,3.4150000000000005
1743,Monaco,5.096
1743,Montenegro,5.6450000000000005
1743,Netherlands,8.009
1743,Netherlands (Europe),7.606
1743,Norway,-3.503
1743,Poland,3.937
1743,Romania,3.89
1743,Saint Pierre And Miquelon,1.1580000000000004
1743,San Marino,11.809
1743,Serbia,5.151
1743,Slovakia,3.697
1743,Slovenia,5.667999999999999
1743,Spain,9.346
1743,Sweden,-1.444
1743,Switzerland,3.572
1743,Ukraine,1.898
1743,United Kingdom,7.086
1743,United Kingdom (Europe),7.176
1743,Åland,4.384
1744,Albania,14.061875
1744,Andorra,12.162749999999999
1744,Austria,7.784750000000001
1744,Belarus,8.099625
1744,Belgium,10.681
1744,Bosnia And Herzegovina,12.01975
1744,Bulgaria,12.284
1744,Croatia,12.95025
1744,Czech Republic,9.247375
1744,Denmark (Europe),9.13025
1744,Estonia,6.93775
1744,Europe,9.395375
1744,Faroe Islands,6.8423750000000005
1744,Finland,3.46875
1744,France,13.610125
1744,France (Europe),11.496125000000001
1744,Germany,9.541625
1744,Greece,16.2015
1744,Guernsey,11.612875
1744,Hungary,11.563749999999999
1744,Iceland,2.0492500000000002
1744,Ireland,9.96175
1744,Isle Of Man,9.962125
1744,Italy,14.006
1744,Jersey,11.612875
1744,Latvia,7.380125
1744,Liechtenstein,6.089124999999999
1744,Lithuania,7.942374999999999
1744,Luxembourg,10.433250000000001
1744,Macedonia,12.055250000000001
1744,Moldova,11.17425
1744,Monaco,10.232625
1744,Montenegro,11.816375
1744,Netherlands,10.656875000000001
1744,Netherlands (Europe),10.287125
1744,Norway,1.4983749999999998
1744,Poland,9.321125
1744,Romania,10.762875
1744,Saint Pierre And Miquelon,5.922750000000001
1744,San Marino,15.144625
1744,Serbia,11.767625
1744,Slovakia,9.314625
1744,Slovenia,11.235
1744,Spain,14.537374999999999
1744,Sweden,4.140625
1744,Switzerland,8.351625
1744,Ukraine,9.997125
1744,United Kingdom,9.08825
1744,United Kingdom (Europe),9.363125
1744,Åland,6.6985
1745,Albania,5.58825
1745,Andorra,5.5634999999999994
1745,Austria,-0.9772499999999997
1745,Belarus,-3.5645
1745,Belgium,3.47225
1745,Bosnia And Herzegovina,3.1795
1745,Bulgaria,2.62725
1745,Croatia,4.04
1745,Czech Republic,0.05500000000000016
1745,Denmark (Europe),0.33924999999999994
1745,Estonia,-5.09225
1745,Europe,0.2747499999999998
1745,Faroe Islands,2.91325
1745,Finland,-9.08025
1745,France,7.949750000000002
1745,France (Europe),4.69225
1745,Germany,1.1692500000000003
1745,Greece,7.7162500000000005
1745,Guernsey,6.34025
1745,Hungary,1.865
1745,Iceland,-3.555
1745,Ireland,5.275500000000001
1745,Isle Of Man,4.807250000000001
1745,Italy,6.10275
1745,Jersey,6.34025
1745,Latvia,-4.20125
1745,Liechtenstein,-2.1525
1745,Lithuania,-3.33375
1745,Luxembourg,2.9234999999999998
1745,Macedonia,2.8575
1745,Moldova,-0.05975000000000019
1745,Monaco,2.679
1745,Montenegro,2.8607500000000003
1745,Netherlands,3.4085
1745,Netherlands (Europe),2.9262499999999996
1745,Norway,-7.92775
1745,Poland,-0.9717499999999999
1745,Romania,0.5117499999999997
